Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;06/2025;2.589.532.690;1.106.979.348;640.676.833;2.380.527.350;2.005.037.297;209.005.340;22.289.384;1.926;1.163
BB;49906;b1;S1;C;1;BRASILIA;DF;06/2025;2.439.442.943;1.127.026.229;603.177.331;2.263.636.283;1.936.327.369;175.806.660;10.150.995;4.007;475
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;06/2025;2.101.718.352;1.223.060.644;377.674.023;1.992.557.455;1.821.232.205;109.160.897;8.718.664;3.254;983
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;06/2025;1.770.027.358;821.791.478;282.578.309;1.592.588.284;1.371.145.978;177.439.074;11.971.038;2.274;842
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;06/2025;1.246.892.309;519.646.166;263.045.897;1.153.708.429;971.911.971;93.183.880;7.469.378;2.323;1.657
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2025;888.033.105;331.867.450;145.575.158;722.717.923;590.367.676;165.315.182;12.369.044;5;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2025;639.660.734;158.589.130;202.911.693;573.435.387;433.829.026;66.225.347;7.219.145;65;0
XP;52120;b1;S2;C;2;RIO DE JANEIRO;RJ;06/2025;282.265.060;32.135.260;115.881.373;270.400.240;207.406.164;11.864.820;222.992;14;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;06/2025;267.651.138;134.171.999;64.048.760;247.874.005;201.644.102;19.777.133;2.178.775;187;4
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S2;C;2;PORTO ALEGRE;RS;06/2025;211.142.137;42.113.844;53.078.760;205.680.047;182.777.377;5.462.089;134.305;6;0
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;06/2025;192.997.711;30.726.287;52.929.999;179.521.643;142.945.094;13.476.068;1.296.889;53;9
NUBANK;52058;n1;S3;C;3;SAO PAULO;SP;06/2025;192.249.948;56.936.699;53.343.835;180.215.882;167.821.855;12.034.066;5.504.586;4;0
BANCO SICOOB;51750;b1;S2;C;2;BRASILIA;DF;06/2025;188.655.689;36.933.519;42.184.348;183.149.834;159.044.909;5.505.854;442.265;7;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;06/2025;155.702.101;60.612.614;65.465.586;145.054.886;133.631.580;10.647.214;618.879;514;43
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;06/2025;147.259.681;72.476.871;42.087.663;134.506.913;111.641.764;12.752.768;931.604;7;3
C6 BANK;52072;b1;S3;C;2;SAO PAULO;SP;06/2025;126.790.330;74.026.705;35.532.616;121.802.417;89.772.625;4.987.914;1.049.432;6;0
REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;1425787;n4;S1;C;2;SAO PAULO;SP;06/2025;126.186.819;0;6.539.620;88.324.815;896;37.862.004;1.833.037;1;0
CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;1027058;n4;;C;2;BARUERI;SP;06/2025;115.628.731;0;10.079.787;105.735.162;10.820.885;9.893.570;671.171;1;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18236120;n4;S3;C;3;SAO PAULO;SP;06/2025;98.961.817;56.709.644;2.365.823;80.224.721;8.172.156;18.737.096;5.922.318;1;0
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;06/2025;88.225.375;2.746.722;33.207.586;75.640.563;60.428.704;12.584.812;1.121.791;9;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;06/2025;86.130.350;54.623.949;16.520.442;78.463.445;70.229.828;7.666.905;867.721;60;0
INTER;51884;b1;S3;C;2;BELO HORIZONTE;MG;06/2025;83.617.113;35.866.879;23.434.688;76.306.297;63.567.306;7.310.817;466.690;19;0
STONE INSTITUIÇÃO DE PAGAMENTO S.A.;16501555;n4;S4;C;3;SAO PAULO;SP;06/2025;75.805.682;0;28.159.441;73.005.590;25.270.426;2.800.092;433.719;1;0
BRB;31976;b1;S3;C;1;BRASILIA;DF;06/2025;74.975.750;56.967.275;7.371.996;70.766.813;64.086.675;4.208.937;530.454;91;161
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;C;1;FORTALEZA;CE;06/2025;74.357.909;18.147.582;44.515.473;59.528.509;22.876.182;14.829.400;1.383.679;301;1
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A. INSTITUIÇÃO DE PAGAMENTO;10440482;n4;S1;C;3;SAO PAULO;SP;06/2025;73.429.348;0;111.432;70.253.326;471.123;3.176.022;246.910;1;0
MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.;10573521;n4;S4;C;3;OSASCO;SP;06/2025;72.707.781;12.573.391;19.979.794;69.528.390;32.017.221;3.179.392;278.847;1;0
PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.;8561701;n4;S4;C;2;SAO PAULO;SP;06/2025;70.008.263;546.650;4.998.743;60.227.128;41.730.394;9.781.134;381.757;1;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;06/2025;62.083.443;20.164.343;27.299.074;55.480.547;47.215.001;6.602.896;479.887;15;0
BANCO DA AMAZONIA S.A.;4902979;b1;S3;I;1;BELEM;PA;06/2025;59.112.008;33.096.836;21.600.065;52.083.964;15.217.629;7.028.043;575.159;115;0
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;C;3;SAO PAULO;SP;06/2025;56.702.954;48.038.544;21.550;51.608.578;46.799.622;5.094.376;223.435;2;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;06/2025;53.660.460;38.234.028;5.390.165;47.883.381;43.239.445;5.777.079;349.053;19;0
BANCO BNP PARIBAS BRASIL S.A.;1522368;b1;S3;C;3;SAO PAULO;SP;06/2025;52.215.686;7.003.952;22.447.422;48.258.862;31.592.721;3.956.825;25.009;2;0
BMG;30290;b1;S3;C;2;SAO PAULO;SP;06/2025;48.686.981;22.783.594;14.680.305;44.955.826;34.330.986;3.731.154;240.132;35;2
PAGBANK-PAGSEGURO;52182;b1;S4;C;2;SAO PAULO;SP;06/2025;44.582.497;40.016.543;339.039;43.705.130;43.490.683;877.368;41.769;4;0
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;06/2025;42.704.657;2.272.435;11.285.508;36.050.530;24.338.676;6.654.127;620.998;3;0
AGIBANK;51956;b1;S3;C;2;CAMPINAS;SP;06/2025;39.370.288;28.395.137;6.379.672;36.473.169;27.924.007;2.897.120;647.987;4;238
BANESTES;30159;b1;S3;C;1;VITORIA;ES;06/2025;38.986.281;11.938.364;15.523.092;36.633.672;35.165.311;2.352.609;193.767;88;62
BANCO CLASSICO S.A.;31597552;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2025;33.336.102;0;28.231.905;15.261.667;4.575.802;18.074.435;65.787;2;0
PICPAY - FINANCEIRO;52632;b1;S3;C;2;SAO PAULO;SP;06/2025;32.083.492;16.073.020;9.178.983;31.086.094;24.901.823;997.398;-95.842;7;0
GOLDMAN SACHS;51585;b2;S3;C;3;SAO PAULO;SP;06/2025;31.199.185;0;18.886.906;26.495.638;11.421.310;4.703.547;519.632;4;0
MERCANTIL DO BRASIL;20152;b1;S3;C;2;BELO HORIZONTE;MG;06/2025;30.884.660;18.196.544;2.723.600;28.778.298;24.737.062;2.106.362;484.495;11;287
BANCO ORIGINAL S.A.;92894922;b1;S3;C;2;SAO PAULO;SP;06/2025;30.583.907;12.875.298;10.395.059;29.228.741;27.160.526;1.355.167;11.929;2;0
BOCOM;52003;b1;S3;C;3;SALVADOR;BA;06/2025;30.144.829;14.818.360;9.237.220;28.649.154;23.606.778;1.495.676;175.222;8;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S3;I;2;BELO HORIZONTE;MG;06/2025;29.066.698;197.565;7.226.492;27.531.602;607.752;1.535.096;41.329;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;S3;C;1;PORTO ALEGRE;RS;06/2025;27.717.505;22.618.202;4.299.757;22.468.078;21.153.258;5.249.427;325.396;4;0
MORGAN STANLEY;51413;b1;S3;C;3;SAO PAULO;SP;06/2025;26.733.727;0;12.209.941;20.382.272;8.083.145;6.351.455;244.045;4;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;S3;I;3;CURITIBA;PR;06/2025;26.637.588;24.040.451;32.723;23.699.439;21.623.067;2.938.149;21.667;2;0
TERRA;52113;n2;S4;C;2;SAO PAULO;SP;06/2025;25.635.751;0;147.578;25.553.225;945.977;82.526;6.001;6;0
CCB;32119;b1;S3;C;3;SAO PAULO;SP;06/2025;22.743.460;12.486.128;5.328.080;20.689.503;18.591.343;2.053.957;44.820;16;1
STONE SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.;53505601;n1;S4;C;3;SAO PAULO;SP;06/2025;22.007.018;20.744.631;0;21.851.353;21.328.017;155.665;135.295;2;0
BANCO CSF S.A.;8357240;b2;S3;I;2;SAO PAULO;SP;06/2025;21.710.191;17.244.370;935.652;18.763.087;3.821.302;2.947.105;238.190;2;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S3;I;2;FLORIANOPOLIS;SC;06/2025;21.073.572;193.887;4.393.888;19.685.295;628.119;1.388.277;74.111;0;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S3;I;2;BELO HORIZONTE;MG;06/2025;20.831.944;1.025.059;5.253.473;19.951.343;0;880.601;59.250;0;0
PORTO SEGURO;51444;n1;S3;C;2;SAO PAULO;SP;06/2025;20.552.804;18.337.801;340.606;19.633.176;4.083.074;919.627;114.277;4;0
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;b1;S3;C;3;SAO PAULO;SP;06/2025;20.514.842;9.603.568;2.658.612;17.749.734;15.133.836;2.765.108;55.779;2;0
STELLANTIS;52508;b2;S4;C;3;SAO PAULO;SP;06/2025;19.605.596;17.246.481;621.990;16.380.842;15.153.692;3.224.754;209.544;4;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;S3;I;1;BELEM;PA;06/2025;19.514.535;14.776.502;1.823.131;17.278.860;16.573.412;2.235.675;125.630;165;34
MERCEDES-BENZ;51262;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;06/2025;19.473.424;17.909.899;276.823;16.811.822;15.954.656;2.661.602;122.309;4;0
CLOUDWALK INSTITUIÇÃO DE PAGAMENTO E SERVICOS LTDA;18189547;n4;S5;C;2;SAO PAULO;SP;06/2025;19.422.981;0;392.734;18.153.430;1.324.241;1.269.552;257.923;1;0
BANCO FIBRA S.A.;58616418;b1;S3;C;2;SAO PAULO;SP;06/2025;18.851.750;6.176.423;7.583.857;17.664.050;16.448.418;1.187.699;41.996;2;0
UBS (BRASIL);30771;b1;S3;C;3;SAO PAULO;SP;06/2025;18.476.534;5.590.063;3.713.657;11.746.263;3.914.239;6.730.271;584.916;15;0
SCOTIABANK;52230;b1;S3;C;3;SAO PAULO;SP;06/2025;18.423.855;1.340.315;4.617.564;15.185.717;13.110.421;3.238.138;117.505;4;0
BANCO VOLVO BRASIL S.A.;58017179;b2;S3;C;3;CURITIBA;PR;06/2025;17.248.646;14.416.111;1.705.139;13.448.580;13.324.746;3.800.066;229.545;2;0
MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;37679449;n1;S4;C;3;OSASCO;SP;06/2025;16.544.203;5.986.397;1.580.451;15.146.452;13.425.344;1.397.750;-75.883;2;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;I;2;BEBEDOURO;SP;06/2025;16.533.104;8.675.089;2.392.508;13.200.634;11.580.909;3.332.470;251.681;0;127
SCANIA BANCO S.A.;11417016;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;06/2025;16.221.298;15.671.633;967;14.865.181;14.760.165;1.356.117;-16.151;2;0
BANCO JOHN DEERE S.A.;91884981;b1;S1;C;2;OSASCO;SP;06/2025;16.064.676;14.607.939;0;11.835.667;11.533.782;4.229.009;56.046;2;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S3;I;2;RIBEIRAO PRETO;SP;06/2025;15.690.413;0;2.137.048;14.943.928;702.130;746.485;57.110;0;0
BANCO GM S.A.;59274605;b2;S3;C;3;SAO PAULO;SP;06/2025;15.687.948;12.159.697;156.068;12.905.715;11.053.269;2.782.233;179.563;2;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;I;2;BLUMENAU;SC;06/2025;15.375.445;8.393.176;637.442;12.123.942;10.883.239;3.251.503;390.079;0;115
BR PARTNERS BANCO DE INVESTIMENTO S.A.;13220493;b2;S4;C;2;SAO PAULO;SP;06/2025;14.623.794;486.194;12.722.478;13.930.109;12.764.215;693.685;21.295;2;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;S3;I;3;SAO PAULO;SP;06/2025;14.623.173;3.738.889;3.944.309;11.738.036;8.489.050;2.885.137;182.961;2;0
BANCO MIZUHO DO BRASIL S.A.;61088183;b1;S4;I;3;SAO PAULO;SP;06/2025;14.539.162;2.930.071;6.730.084;13.265.955;12.329.279;1.273.206;66.632;2;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;S3;I;3;PORTO ALEGRE;RS;06/2025;14.156.765;12.940.865;0;12.893.158;11.673.888;1.263.607;-94.257;3;0
COOPERATIVA CENTRAL DE CRÉDITO UNICRED DO BRASIL - UNICRED DO BRASIL;315557;b3C;S4;I;2;SAO PAULO;SP;06/2025;14.075.609;0;8.670.570;13.462.188;0;613.420;21.805;0;1
COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;S4;I;2;FRANCISCO BELTRAO;PR;06/2025;13.992.877;79.163;3.192.282;13.341.461;7.981.988;651.416;65.592;0;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;S4;C;1;ARACAJU;SE;06/2025;13.515.375;4.681.879;2.846.296;12.677.013;12.116.144;838.361;44.872;65;7
BANCO HSBC S.A.;53518684;b1;S3;I;3;SAO PAULO;SP;06/2025;13.511.352;4.493.078;3.685.330;12.081.075;9.856.859;1.430.276;77.233;2;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;S3;I;1;BELO HORIZONTE;MG;06/2025;13.491.176;7.068.435;4.808.537;11.203.447;9.881.185;2.287.729;64.147;2;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S3;I;2;SERTAOZINHO;SP;06/2025;13.304.870;8.466.018;319.436;11.534.405;10.516.394;1.770.465;54.415;0;43
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DEXIS - SICREDI DEXIS;79342069;b3S;S3;I;2;MARINGA;PR;06/2025;13.025.015;7.717.931;3.688.190;11.788.071;6.884.453;1.236.944;54.875;0;113
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;S4;I;2;VITORIA;ES;06/2025;12.970.638;115.690;3.358.669;12.297.207;401.703;673.431;49.031;0;0
BANCO MUFG BRASIL S.A.;60498557;b1;S3;I;3;SAO PAULO;SP;06/2025;12.895.619;1.968.265;4.754.428;11.306.083;9.999.879;1.589.535;40.205;2;0
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;S3;I;2;BLUMENAU;SC;06/2025;12.433.717;913.111;7.726.123;11.489.943;2.426.304;943.774;0;0;0
COOPERATIVA DE CRÉDITO CONEXÃO - SICOOB CONEXÃO;32430233;b3S;S5;I;2;LINHARES;ES;06/2025;12.257.660;7.291.594;780.422;10.085.976;8.264.794;2.171.684;222.265;0;47
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;S3;C;3;SAO PAULO;SP;06/2025;12.156.434;10.020.906;0;10.819.827;10.333.136;1.336.607;107.829;2;0
PARANÁ BANCO;30881;b1;S4;C;2;CURITIBA;PR;06/2025;11.960.285;8.658.032;2.088.187;10.643.658;10.358.855;1.316.627;80.025;4;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;S4;I;2;PALOTINA;PR;06/2025;11.893.363;7.577.414;2.936.543;10.822.866;6.887.369;1.070.498;-25.367;0;97
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;06/2025;11.479.270;7.889.861;1.954.727;9.673.750;4.933.870;1.805.520;171.434;0;40
BANCO INBURSA S.A.;4866275;b1;S4;I;3;SAO PAULO;SP;06/2025;11.301.285;10.886.515;266.707;9.956.290;9.860.069;1.344.994;96.907;2;1
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;S3;I;2;BRASILIA;DF;06/2025;11.181.569;4.939.515;1.495.796;3.652.205;3.526.209;7.529.364;76.988;61;0
COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES;90608712;b3S;S4;I;2;CARLOS BARBOSA;RS;06/2025;11.046.317;5.736.275;4.150.040;9.893.387;7.034.475;1.152.929;136.306;0;53
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;06/2025;11.010.167;6.841.375;2.572.801;9.711.789;5.980.744;1.298.378;128.881;0;99
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;S4;I;2;NOVA PETROPOLIS;RS;06/2025;10.686.540;5.376.007;4.039.464;9.583.357;7.234.949;1.103.183;113.840;0;58
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS E GRANDE CURITIBA - SICREDI CAMPOS GERAIS E GRANDE CURITIBA PR/SP;81466286;b3S;S4;I;2;PONTA GROSSA;PR;06/2025;10.580.892;5.557.812;4.073.678;9.464.678;6.781.544;1.116.214;106.021;0;51
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;06/2025;10.540.791;0;5.042.699;8.086.991;0;2.453.800;0;0;0
HONDA;51396;b2;S4;C;3;SAO PAULO;SP;06/2025;10.484.675;8.279.486;244.625;9.101.029;8.588.417;1.383.646;58.576;4;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;S3;C;3;SAO PAULO;SP;06/2025;10.024.764;2.755.105;3.574.531;7.821.579;6.483.268;2.203.185;-33.052;2;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S4;I;2;CHAPECO;SC;06/2025;10.016.920;6.303.679;159.620;8.813.914;7.546.893;1.203.007;117.638;0;101
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;S5;I;2;GOIANIA;GO;06/2025;9.988.590;6.968.603;82.990;8.866.679;8.014.169;1.121.910;115.287;0;113
BANCO DIGIMAIS S.A.;92874270;b1;S4;C;3;SAO PAULO;SP;06/2025;9.976.611;1.772.504;3.890.920;9.303.501;7.966.050;673.110;42.069;3;0
CREFISA;52010;b1;S4;C;2;SAO PAULO;SP;06/2025;9.860.141;4.547.107;2.213.919;2.976.786;818.567;6.883.354;517.052;4;1.166
BANCO SOCIETE GENERALE BRASIL S.A.;61533584;b1;S4;I;3;SAO PAULO;SP;06/2025;9.475.618;234.805;869.821;7.761.420;4.358.596;1.714.197;28.165;2;0
SISPRIME DO BRASIL - COOPERATIVA DE CRÉDITO;2398976;b3S;S4;I;2;LONDRINA;PR;06/2025;9.370.678;4.723.629;3.660.575;7.800.694;7.575.478;1.569.984;87.947;0;50
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO - SICREDI UNIAO RS/ES;88894548;b3S;S4;I;2;CERRO LARGO;RS;06/2025;9.297.290;5.648.726;2.513.036;8.190.694;4.722.091;1.106.595;79.411;0;74
HAITONG;51482;b2;S4;C;3;SAO PAULO;SP;06/2025;9.069.008;241.603;7.095.564;8.491.121;8.133.977;577.886;10.358;6;0
SEM PARAR INSTITUICAO DE PAGAMENTO LTDA;4088208;n4;S5;C;3;SAO PAULO;SP;06/2025;8.864.132;0;1.370.599;5.603.361;2.585.207;3.260.771;599.015;1;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;S4;I;2;TANGARA DA SERRA;MT;06/2025;8.800.471;4.842.638;2.370.103;7.727.013;5.268.954;1.073.458;80.608;0;97
BANCO PACCAR S.A.;28517628;b2;S4;I;3;PONTA GROSSA;PR;06/2025;8.661.704;8.133.715;0;6.326.776;6.029.678;2.334.928;28.530;2;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42898825;b3S;S5;I;2;BELO HORIZONTE;MG;06/2025;8.628.978;4.564.307;293.294;7.349.156;6.791.821;1.279.822;106.381;0;54
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIÃO MS/TO;24654881;b3S;S4;I;2;CAMPO GRANDE;MS;06/2025;8.050.348;4.399.255;2.691.966;7.218.297;4.245.334;832.051;41.474;0;52
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL E BAHIA - SICREDI CENTRO-SUL MS/BA;26408161;b3S;S4;I;2;DOURADOS;MS;06/2025;8.013.903;5.124.184;2.021.358;6.848.450;3.956.189;1.165.453;40.425;0;53
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S4;I;2;CURITIBA;PR;06/2025;7.980.550;0;2.887.354;6.135.819;9.294;1.844.731;0;0;0
CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO;4243780;b3C;S4;I;2;GOIANIA;GO;06/2025;7.938.454;81.441;1.771.127;7.602.754;0;335.700;32.227;0;0
ALELO INSTITUICAO DE PAGAMENTO SA;4740876;n4;;C;2;BARUERI;SP;06/2025;7.865.239;829.190;3.148.208;6.739.605;5.892.764;1.125.634;256.421;1;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS;87780268;b3S;S4;I;2;ERECHIM;RS;06/2025;7.764.077;4.515.306;2.460.979;6.906.139;4.641.119;857.938;24.853;0;71
COOPERATIVA DE CRÉDITO E INVESTIMENTO DO SUDOESTE  DA AMAZÔNIA LTDA - SICOOB CREDISUL;3632872;b3S;S5;I;2;VILHENA;RO;06/2025;7.652.613;5.405.748;84.683;6.382.362;5.034.178;1.270.250;39.763;0;47
BANCO BS2 S.A.;71027866;b1;S3;C;2;BELO HORIZONTE;MG;06/2025;7.634.605;2.418.820;1.622.940;6.767.322;6.082.149;867.283;10.558;3;0
INDUSTRIAL DO BRASIL;50988;b1;S4;C;2;SAO PAULO;SP;06/2025;7.605.194;5.668.305;282.326;6.927.057;6.194.383;678.138;-35.185;12;0
