Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;dez/25;2.741.499.329;1.189.781.110;623.182.740;2.536.474.267;2.173.092.821;205.025.062;24.021.388;1.593;1.347
BB;49906;b1;S1;C;1;BRASILIA;DF;dez/25;2.454.390.684;1.116.280.385;727.135.387;2.268.726.234;1.931.046.478;185.664.450;8.460.328;3.976;326
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;dez/25;2.203.183.797;1.297.939.574;472.333.112;2.091.387.973;1.913.795.619;111.795.824;5.862.060;3.125;853
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;dez/25;1.939.636.826;886.881.186;365.961.207;1.756.899.629;1.530.963.205;182.737.197;13.063.783;2.133;801
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;dez/25;1.281.314.886;543.346.288;285.708.213;1.184.873.331;981.561.811;96.441.555;8.305.127;1.890;2.044
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;C;1;RIO DE JANEIRO;RJ;dez/25;963.247.578;360.539.987;177.065.571;791.231.993;614.411.997;172.015.584;13.206.947;5;0
UBS PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;dez/25;769.555.198;182.429.273;285.483.281;699.291.314;554.709.561;70.263.884;8.727.905;66;0
XP;52120;b1;S2;C;2;RIO DE JANEIRO;RJ;dez/25;305.341.044;35.087.336;122.231.318;293.918.407;231.803.157;11.422.637;636.109;12;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;dez/25;285.827.562;141.249.539;69.502.538;268.397.269;227.167.871;17.430.294;2.201.469;189;3
NUBANK;52058;n1;S2;C;3;SAO PAULO;SP;dez/25;253.341.183;66.131.236;78.424.528;240.231.699;215.171.113;13.109.484;5.785.679;4;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S2;C;2;PORTO ALEGRE;RS;dez/25;222.175.305;46.213.054;50.363.568;216.861.443;191.287.561;5.313.862;46.215;6;0
