Banco;Categoria;Trimestre;Data;Ativo Total;Carteira de Crédito;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;ROE_anualizado
Banco do Brasil;Tradicional;2024T1;03/2024;2282609423.0;;1811597470.0;169381967.0;9087783.0;4006.0;0.2146
Banco do Brasil;Tradicional;2024T2;06/2024;2334998796.0;;1848221839.0;172906438.0;18208308.0;4006.0;0.4212
Banco do Brasil;Tradicional;2024T3;09/2024;2442453151.0;;1944433047.0;178806105.0;9087562.0;4006.0;0.2033
Banco do Brasil;Tradicional;2024T4;12/2024;2410321787.0;;1893554367.0;182240467.0;17909998.0;4005.0;0.3931
Banco do Brasil;Tradicional;2025T1;03/2025;2421391246.0;1122017903.0;1926906235.0;175877169.0;6941572.0;4005.0;0.1579
Banco do Brasil;Tradicional;2025T2;06/2025;2439442943.0;1127026229.0;1936327369.0;175806660.0;10150995.0;4007.0;0.231
Banco do Brasil;Tradicional;2025T3;09/2025;2538606264.0;1103570994.0;2015972025.0;179081845.0;3100155.0;3995.0;0.0692
Banco do Brasil;Tradicional;2025T4;dez/25;2454390684.0;1116280385.0;1931046478.0;185664450.0;8460328.0;3976.0;0.1823
Bradesco;Tradicional;2024T1;03/2024;1659193708.0;;1259709110.0;165959781.0;4269416.0;2784.0;0.1029
Bradesco;Tradicional;2024T2;06/2024;1706649324.0;;1299735117.0;165861054.0;9038044.0;2605.0;0.218
Bradesco;Tradicional;2024T3;09/2024;1712859762.0;;1297665095.0;168688038.0;5252157.0;2430.0;0.1245
Bradesco;Tradicional;2024T4;12/2024;1744567705.0;;1340667314.0;167192646.0;10100193.0;2329.0;0.2416
Bradesco;Tradicional;2025T1;03/2025;1701659831.0;810372378.0;1318575248.0;174607449.0;5926607.0;2332.0;0.1358
Bradesco;Tradicional;2025T2;06/2025;1770027358.0;821791478.0;1371145978.0;177439074.0;11971038.0;2274.0;0.2699
Bradesco;Tradicional;2025T3;09/2025;1826149502.0;842463316.0;1430201829.0;179837706.0;6384369.0;2157.0;0.142
Bradesco;Tradicional;2025T4;dez/25;1939636826.0;886881186.0;1530963205.0;182737197.0;13063783.0;2133.0;0.286
C6 Bank;Digital;2024T1;03/2024;76676327.0;;52617435.0;3243282.0;441252.0;6.0;0.5442
C6 Bank;Digital;2024T2;06/2024;86089832.0;;62797077.0;3753310.0;942923.0;6.0;1.0049
C6 Bank;Digital;2024T3;09/2024;98622981.0;;70302544.0;4591520.0;827914.0;6.0;0.7213
C6 Bank;Digital;2024T4;12/2024;116214088.0;;79241160.0;4774464.0;1327341.0;6.0;1.112
C6 Bank;Digital;2025T1;03/2025;117914487.0;66993211.0;83435233.0;4507582.0;543064.0;6.0;0.4819
C6 Bank;Digital;2025T2;06/2025;126790330.0;74026705.0;89772625.0;4987914.0;1049432.0;6.0;0.8416
C6 Bank;Digital;2025T3;09/2025;134136879.0;81749998.0;93233153.0;5627883.0;634846.0;6.0;0.4512
C6 Bank;Digital;2025T4;dez/25;148192770.0;90335175.0;102324113.0;6132158.0;1411068.0;6.0;0.9204
Inter;Digital;2024T1;03/2024;61245000.0;;44261470.0;7274972.0;70249.0;21.0;0.0386
Inter;Digital;2024T2;06/2024;65309274.0;;48295838.0;7279192.0;164562.0;19.0;0.0904
Inter;Digital;2024T3;09/2024;67776551.0;;50678121.0;7219366.0;129433.0;19.0;0.0717
Inter;Digital;2024T4;12/2024;74679540.0;;56784066.0;7256024.0;388155.0;19.0;0.214
Inter;Digital;2025T1;03/2025;80000585.0;33188649.0;61308767.0;7246868.0;217744.0;19.0;0.1202
Inter;Digital;2025T2;06/2025;83617113.0;35866879.0;63567306.0;7310817.0;466690.0;19.0;0.2553
Inter;Digital;2025T3;09/2025;89798255.0;39109757.0;69019589.0;7346921.0;288276.0;4.0;0.157
Inter;Digital;2025T4;dez/25;96197403.0;43056735.0;74083716.0;7289246.0;586421.0;4.0;0.3218
Itaú;Tradicional;2024T1;03/2024;2528221721.0;;1861763613.0;184579935.0;9507788.0;2227.0;0.206
Itaú;Tradicional;2024T2;06/2024;2668446292.0;;1960562323.0;193412225.0;19208472.0;2147.0;0.3973
Itaú;Tradicional;2024T3;09/2024;2720401272.0;;1971990297.0;202350698.0;9655403.0;2103.0;0.1909
Itaú;Tradicional;2024T4;12/2024;2766166428.0;;2011329448.0;211259988.0;19423312.0;2042.0;0.3678
Itaú;Tradicional;2025T1;03/2025;2533620793.0;1102720072.0;1974869412.0;202131282.0;10853321.0;1988.0;0.2148
Itaú;Tradicional;2025T2;06/2025;2589532690.0;1106979348.0;2005037297.0;209005340.0;22289384.0;1926.0;0.4266
Itaú;Tradicional;2025T3;09/2025;2689456820.0;1119067920.0;2105016675.0;215321694.0;11961715.0;1727.0;0.2222
Itaú;Tradicional;2025T4;dez/25;2741499329.0;1189781110.0;2173092821.0;205025062.0;24021388.0;1593.0;0.4687
Mercado Pago (Financeiro);Fintech Pagamento;2025T4;dez/25;18648812.0;9229114.0;14181363.0;2336151.0;369277.0;4.0;0.6323
Mercado Pago (Pagamento);Fintech Pagamento;2024T1;03/2024;36680401.0;;13574734.0;2434961.0;448613.0;1.0;0.737
Mercado Pago (Pagamento);Fintech Pagamento;2024T2;06/2024;43730984.0;;16798431.0;2681462.0;664677.0;1.0;0.9915
